timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text,scenario_id,scenario_name,stress_type,ai_risk_score,ai_price_spike_score,ai_load_pressure_score,ai_renewable_curtailment_score,ai_recommended_storage_bias,ai_event_summary,ai_explanation,ai_provider,ai_model
2025-07-29 00:00:00,广东省,3.6378,0.0113,364.4941,29.466,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 00:15:00,广东省,3.3363,0.1082,365.9587,28.757,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 00:30:00,广东省,3.3916,0.0321,396.2148,28.545,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 00:45:00,广东省,3.5225,0.0903,401.5727,29.861,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 01:00:00,广东省,3.5018,0.0982,396.2614,28.536,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 01:15:00,广东省,3.5059,0.0933,365.7606,28.34,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 01:30:00,广东省,3.5861,0.0,366.7157,28.657,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 01:45:00,广东省,3.2565,0.1205,386.1692,29.587,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 02:00:00,广东省,3.4137,0.0734,376.6499,29.905,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 02:15:00,广东省,3.429,0.1833,382.6472,28.544,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 02:30:00,广东省,3.5215,0.0567,390.6352,28.797,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 02:45:00,广东省,3.4945,0.0253,407.0821,28.693,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 03:00:00,广东省,3.4293,0.1389,364.7282,28.805,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
2025-07-29 03:15:00,广东省,3.368,0.0,421.9255,29.128,正常运行,Status: Normal,V1,S5基准变体-午间负电价夏季,neg_price_noon_summer,0.2,0.3,0.4,0.1,0.0,正常运行，温度较高但电价平稳，负荷压力中等，新能源消纳良好。,场景为正常运行，温度29.5°C偏高但未触发极端，电价364.5元/MWh处于中等水平，负荷压力一般，无新能源弃电风险，储能建议中性。,openai_compatible,deepseek-chat
