timestamp,region,load_mw,pv_mw,price_yuan_mwh,temperature_c,event_type,event_text,scenario_id,scenario_name,ai_risk_score,ai_price_spike_score,ai_load_pressure_score,ai_renewable_curtailment_score,ai_recommended_storage_bias,ai_event_summary,ai_explanation,ai_provider,ai_model
2025-07-01 00:00:00,广东省,3.3048,0.0,346.5961,28.798,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 00:15:00,广东省,3.4302,0.0,369.1203,28.937,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 00:30:00,广东省,3.175,0.0064,385.9663,29.461,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 00:45:00,广东省,3.5714,0.0004,406.5293,28.952,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 01:00:00,广东省,3.4818,0.0,357.4858,29.674,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 01:15:00,广东省,3.3714,0.1062,361.9332,29.948,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 01:30:00,广东省,3.3704,0.0,381.7834,28.586,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 01:45:00,广东省,3.4456,0.0343,363.0246,29.11,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 02:00:00,广东省,3.3784,0.0259,398.2866,29.546,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
2025-07-01 02:15:00,广东省,3.3847,0.011,363.6816,29.154,正常运行,Status: Normal,S1,常规夏季运行场景,0.1,0.2,0.3,0.2,0.0,常规夏季运行，温度28.8℃，电价346.6元/MWh,场景处于正常状态，风险较低，电价未达尖峰水平，负荷压力适中，新能源弃电概率小，故推荐储能行为保持中性。,openai_compatible,deepseek-v4-flash
